,Date,Kp_max,Kp,Ap,C9,Rz,SFU
169,2004-06-18,3.3333333333333335,17.333333333333332,9,2,67,111.3
170,2004-06-19,1.6666666666666667,9.333333333333334,4,1,69,116.4
171,2004-06-20,1.3333333333333333,6.666666666666667,4,0,86,123.0
172,2004-06-21,1.3333333333333333,7.666666666666667,4,0,87,119.6
173,2004-06-22,0.6666666666666666,4.0,2,0,76,120.5
174,2004-06-23,1.0,5.333333333333333,3,0,61,116.2
175,2004-06-24,2.0,6.666666666666667,3,0,52,111.9
176,2004-06-25,1.6666666666666667,6.0,3,0,37,106.3
177,2004-06-26,3.6666666666666665,14.0,8,2,34,102.2
178,2004-06-27,1.6666666666666667,6.0,3,0,31,100.4
179,2004-06-28,4.0,21.666666666666668,14,4,30,92.4
180,2004-06-29,4.0,26.666666666666668,19,5,26,87.9
181,2004-06-30,2.6666666666666665,16.333333333333332,8,2,22,84.5
182,2004-07-01,2.6666666666666665,17.333333333333332,8,2,17,84.0
183,2004-07-02,2.6666666666666665,16.666666666666668,8,2,20,83.4
184,2004-07-03,2.3333333333333335,12.333333333333334,6,1,20,82.2
185,2004-07-04,2.0,11.666666666666666,5,1,19,82.1
186,2004-07-05,2.3333333333333335,12.333333333333334,6,1,16,80.9
187,2004-07-06,2.3333333333333335,9.333333333333334,5,1,17,81.6
188,2004-07-07,1.3333333333333333,5.666666666666667,3,0,9,81.9
189,2004-07-08,0.6666666666666666,3.0,2,0,11,84.6
190,2004-07-09,1.3333333333333333,6.666666666666667,4,0,27,89.6
191,2004-07-10,2.0,12.0,6,1,38,96.4
192,2004-07-11,5.0,23.0,18,5,47,107.9
193,2004-07-12,4.0,19.0,12,3,54,129.2
194,2004-07-13,4.333333333333333,22.333333333333332,14,4,88,131.6
195,2004-07-14,2.3333333333333335,13.0,6,1,90,142.6
196,2004-07-15,3.0,11.0,6,1,82,150.5
197,2004-07-16,4.333333333333333,15.0,9,2,65,151.3
198,2004-07-17,6.0,22.666666666666668,21,5,79,154.1
199,2004-07-18,2.0,12.333333333333334,6,1,93,160.2
200,2004-07-19,3.0,15.333333333333334,8,2,100,175.8
201,2004-07-20,2.6666666666666665,16.0,8,2,91,180.8
202,2004-07-21,1.6666666666666667,6.666666666666667,4,0,88,177.7
203,2004-07-22,7.0,23.666666666666668,31,6,84,178.4
204,2004-07-23,6.0,38.0,52,7,74,170.4
205,2004-07-24,6.0,33.333333333333336,37,6,69,151.8
206,2004-07-25,8.0,58.333333333333336,154,9,57,143.9
207,2004-07-26,7.333333333333333,29.0,47,7,64,132.0
208,2004-07-27,8.666666666666666,60.666666666666664,186,9,55,121.8
209,2004-07-28,3.6666666666666665,24.0,15,4,39,103.8
210,2004-07-29,2.3333333333333335,12.0,6,1,24,102.8
211,2004-07-30,3.3333333333333335,13.333333333333334,7,2,24,91.4
212,2004-07-31,2.3333333333333335,14.333333333333334,7,1,23,89.0
213,2004-08-01,3.6666666666666665,14.0,8,2,23,85.8
214,2004-08-02,2.6666666666666665,12.0,6,1,28,87.0
215,2004-08-03,1.6666666666666667,5.0,3,0,30,90.1
216,2004-08-04,1.3333333333333333,4.666666666666667,3,0,33,87.9
217,2004-08-05,2.6666666666666665,10.666666666666666,5,1,21,91.5
218,2004-08-06,2.6666666666666665,9.333333333333334,5,1,33,93.6
219,2004-08-07,4.0,23.0,15,4,44,97.3
220,2004-08-08,1.3333333333333333,5.666666666666667,3,0,39,107.7
221,2004-08-09,4.333333333333333,21.0,14,4,50,117.0
222,2004-08-10,4.0,23.333333333333332,16,4,58,124.7
223,2004-08-11,3.3333333333333335,19.333333333333332,10,3,63,134.3
224,2004-08-12,3.0,15.0,7,2,68,151.1
225,2004-08-13,2.6666666666666665,13.0,6,1,76,152.5
226,2004-08-14,2.6666666666666665,15.0,7,2,68,153.1
227,2004-08-15,2.6666666666666665,6.666666666666667,4,0,61,142.4
228,2004-08-16,2.0,10.0,5,1,54,137.0
229,2004-08-17,3.6666666666666665,17.333333333333332,10,3,44,138.3
230,2004-08-18,3.0,17.0,8,2,41,143.3
231,2004-08-19,1.6666666666666667,8.666666666666666,4,0,36,123.5
232,2004-08-20,3.6666666666666665,24.0,15,4,50,124.2
233,2004-08-21,4.0,24.333333333333332,16,4,57,122.8
234,2004-08-22,3.3333333333333335,21.333333333333332,12,3,66,117.8
235,2004-08-23,2.0,9.666666666666666,5,1,56,111.9
236,2004-08-24,1.3333333333333333,5.666666666666667,3,0,38,107.2
237,2004-08-25,1.3333333333333333,8.0,4,0,31,102.5
238,2004-08-26,2.3333333333333335,9.333333333333334,5,1,24,99.5
239,2004-08-27,2.6666666666666665,11.666666666666666,6,1,21,92.3
240,2004-08-28,3.3333333333333335,13.666666666666666,7,2,20,88.9
241,2004-08-29,1.6666666666666667,11.0,5,1,16,87.7
242,2004-08-30,7.0,33.333333333333336,42,7,10,91.6
243,2004-08-31,5.333333333333333,30.333333333333332,28,6,9,89.7
244,2004-09-01,2.3333333333333335,14.666666666666666,7,1,8,91.5
245,2004-09-02,2.3333333333333335,11.666666666666666,6,1,8,95.6
246,2004-09-03,1.3333333333333333,4.333333333333333,2,0,18,98.3
247,2004-09-04,1.0,4.0,2,0,20,100.9
248,2004-09-05,3.3333333333333335,12.666666666666666,7,2,37,104.8
249,2004-09-06,3.6666666666666665,22.666666666666668,14,4,32,108.2
250,2004-09-07,3.3333333333333335,19.333333333333332,11,3,38,120.7
251,2004-09-08,3.0,12.666666666666666,7,2,47,126.3
252,2004-09-09,2.0,6.666666666666667,3,0,51,132.8
253,2004-09-10,1.0,3.6666666666666665,2,0,44,131.8
254,2004-09-11,1.0,3.3333333333333335,2,0,42,117.9
255,2004-09-12,1.3333333333333333,3.6666666666666665,2,0,43,116.0
