DATE,WILL5000INDFC
2018-04-12,124.28
2018-04-13,123.84
2018-04-16,124.91
2018-04-17,126.29
2018-04-18,126.45
2018-04-19,125.81
2018-04-20,124.83
2018-04-23,124.81
2018-04-24,123.24
2018-04-25,123.38
2018-04-26,124.59
2018-04-27,124.66
2018-04-30,123.71
2018-05-01,124.03
2018-05-02,123.27
2018-05-03,122.97
2018-05-04,124.55
2018-05-07,125.07
2018-05-08,125.13
2018-05-09,126.27
2018-05-10,127.35
2018-05-11,127.57
2018-05-14,127.62
2018-05-15,126.90
2018-05-16,127.52
2018-05-17,127.55
2018-05-18,127.28
2018-05-21,128.20
2018-05-22,127.70
2018-05-23,128.09
2018-05-24,127.85
2018-05-25,127.59
2018-05-28,.
2018-05-29,126.37
2018-05-30,128.04
2018-05-31,127.18
2018-06-01,128.49
2018-06-04,129.13
2018-06-05,129.33
2018-06-06,130.40
2018-06-07,130.26
2018-06-08,130.67
2018-06-11,130.85
2018-06-12,131.17
2018-06-13,130.66
2018-06-14,131.07
2018-06-15,130.95
2018-06-18,130.88
2018-06-19,130.40
2018-06-20,130.75
2018-06-21,129.83
2018-06-22,130.02
2018-06-25,128.13
2018-06-26,128.50
2018-06-27,127.23
2018-06-28,127.99
2018-06-29,128.11
2018-07-02,128.53
2018-07-03,128.03
2018-07-04,.
2018-07-05,129.16
2018-07-06,130.29
2018-07-09,131.43
2018-07-10,131.72
2018-07-11,130.82
2018-07-12,131.98
2018-07-13,132.10
2018-07-16,131.88
2018-07-17,132.43
2018-07-18,132.78
2018-07-19,132.44
2018-07-20,132.25
2018-07-23,132.45
2018-07-24,132.71
2018-07-25,133.82
2018-07-26,133.53
2018-07-27,132.42
2018-07-30,131.57
2018-07-31,132.31
2018-08-01,132.18
2018-08-02,133.07
2018-08-03,133.52
2018-08-06,134.15
2018-08-07,134.51
2018-08-08,134.47
2018-08-09,134.45
2018-08-10,133.66
2018-08-13,133.05
2018-08-14,133.97
2018-08-15,132.82
2018-08-16,133.94
2018-08-17,134.40
2018-08-20,134.78
2018-08-21,135.17
2018-08-22,135.23
2018-08-23,134.97
2018-08-24,135.80
2018-08-27,136.76
2018-08-28,136.77
2018-08-29,137.50
2018-08-30,136.95
2018-08-31,137.04
2018-09-03,.
2018-09-04,136.84
2018-09-05,136.35
2018-09-06,135.80
2018-09-07,135.49
2018-09-10,135.82
2018-09-11,136.33
2018-09-12,136.40
2018-09-13,137.01
2018-09-14,137.15
2018-09-17,136.23
2018-09-18,136.95
2018-09-19,136.98
2018-09-20,138.04
2018-09-21,137.86
2018-09-24,137.36
2018-09-25,137.30
2018-09-26,136.72
2018-09-27,137.11
2018-09-28,137.15
2018-10-01,137.35
2018-10-02,137.05
2018-10-03,137.31
2018-10-04,136.04
2018-10-05,135.22
2018-10-08,135.05
2018-10-09,134.84
2018-10-10,130.44
2018-10-11,127.88
2018-10-12,129.57
2018-10-15,129.02
2018-10-16,131.91
2018-10-17,131.79
2018-10-18,129.83
2018-10-19,129.57
2018-10-22,129.04
2018-10-23,128.29
2018-10-24,124.20
2018-10-25,126.56
2018-10-26,124.43
2018-10-29,123.54
2018-10-30,125.55
2018-10-31,126.97
2018-11-01,128.57
2018-11-02,127.88
2018-11-05,128.46
2018-11-06,129.21
2018-11-07,131.87
2018-11-08,131.53
2018-11-09,130.21
2018-11-12,127.65
2018-11-13,127.48
2018-11-14,126.54
2018-11-15,127.97
2018-11-16,128.20
2018-11-19,125.91
2018-11-20,123.65
2018-11-21,124.30
2018-11-22,.
2018-11-23,123.63
2018-11-26,125.57
2018-11-27,125.69
2018-11-28,128.64
2018-11-29,128.40
2018-11-30,129.40
2018-12-03,130.86
2018-12-04,126.45
2018-12-05,.
2018-12-06,126.39
2018-12-07,123.53
2018-12-10,123.60
2018-12-11,123.52
2018-12-12,124.26
2018-12-13,124.00
2018-12-14,121.78
2018-12-17,119.11
2018-12-18,119.10
2018-12-19,117.27
2018-12-20,115.36
2018-12-21,112.89
2018-12-24,109.99
2018-12-25,.
2018-12-26,115.52
2018-12-27,116.37
2018-12-28,116.36
2018-12-31,117.37
2019-01-01,.
2019-01-02,117.58
2019-01-03,114.89
2019-01-04,118.90
2019-01-07,120.05
2019-01-08,121.34
2019-01-09,121.95
2019-01-10,122.46
2019-01-11,122.47
2019-01-14,121.77
2019-01-15,123.05
2019-01-16,123.42
2019-01-17,124.38
2019-01-18,125.98
2019-01-21,.
2019-01-22,124.15
2019-01-23,124.34
2019-01-24,124.65
2019-01-25,125.82
2019-01-28,124.93
2019-01-29,124.71
2019-01-30,126.58
2019-01-31,127.75
2019-02-01,127.93
2019-02-04,128.87
2019-02-05,129.47
2019-02-06,129.16
2019-02-07,128.02
2019-02-08,128.15
2019-02-11,128.36
2019-02-12,130.01
2019-02-13,130.41
2019-02-14,130.20
2019-02-15,131.63
2019-02-18,.
2019-02-19,131.90
2019-02-20,132.12
2019-02-21,131.65
2019-02-22,132.51
2019-02-25,132.68
2019-02-26,132.47
2019-02-27,132.56
2019-02-28,132.20
2019-03-01,133.12
2019-03-04,132.49
2019-03-05,132.31
2019-03-06,131.23
2019-03-07,130.23
