DATE,price
2018/2/16,1358.6
2018/2/19,1347.4
2018/2/20,1337.4
2018/2/21,1328.6
2018/2/22,1323.5
2018/2/23,1328.9
2018/2/26,1339.05
2018/2/27,1332.75
2018/2/28,1320.3
2018/3/1,1311.25
2018/3/2,1316.75
2018/3/5,1326.3
2018/3/6,1324.95
2018/3/7,1332.5
2018/3/8,1325.4
2018/3/9,1319.35
2018/3/12,1317.25
2018/3/13,1318.7
2018/3/14,1324.95
2018/3/15,1323.35
2018/3/16,1320.05
2018/3/19,1311.7
2018/3/20,1312.75
2018/3/21,1316.35
2018/3/22,1328.85
2018/3/23,1342.35
2018/3/26,1348.4
2018/3/27,1350.65
2018/3/28,1341.05
2018/3/29,1323.9
2018/4/3,1336.6
2018/4/4,1343.15
2018/4/5,1327.05
2018/4/6,1325.6
2018/4/9,1328.5
2018/4/10,1335.95
2018/4/11,1345.2
2018/4/12,1345.9
2018/4/13,1340.75
2018/4/16,1344.4
2018/4/17,1342.95
2018/4/18,1346.55
2018/4/19,1347.9
2018/4/20,1340.15
2018/4/23,1328
2018/4/24,1327.35
2018/4/25,1325.7
2018/4/26,1321.9
2018/4/27,1317.7
2018/4/30,1316.25
2018/5/1,1309.2
2018/5/2,1310.75
2018/5/3,1313.3
2018/5/4,1309.35
2018/5/8,1310.05
2018/5/9,1306.85
2018/5/10,1314.8
2018/5/11,1324.8
2018/5/14,1320.7
2018/5/15,1310.05
2018/5/16,1291.75
2018/5/17,1288.85
2018/5/18,1287.2
2018/5/21,1285.85
2018/5/22,1293.9
2018/5/23,1294
2018/5/24,1296.35
2018/5/25,1303.95
2018/5/29,1302.05
2018/5/30,1298.6
2018/5/31,1303.5
2018/6/1,1299.15
2018/6/4,1294.65
2018/6/5,1292.25
2018/6/6,1295.25
2018/6/7,1298.3
2018/6/8,1299.2
2018/6/11,1296.05
2018/6/12,1298.3
2018/6/13,1294.4
2018/6/14,1305.3
2018/6/15,1300.1
2018/6/18,1281.25
2018/6/19,1279
2018/6/20,1273.25
2018/6/21,1263.7
2018/6/22,1269.7
2018/6/25,1269.8
2018/6/26,1257.15
2018/6/27,1256.8
2018/6/28,1250.5
2018/6/29,1250.55
2018/7/2,1249
2018/7/3,1245.85
2018/7/4,1256.9
2018/7/5,1252.5
2018/7/6,1254.2
2018/7/9,1262.6
2018/7/10,1253.7
2018/7/11,1250
2018/7/12,1244.85
2018/7/13,1240.5
2018/7/16,1244.9
2018/7/17,1243.65
2018/7/18,1223.45
2018/7/19,1217.4
2018/7/20,1224.85
2018/7/23,1229.45
2018/7/24,1224.3
2018/7/25,1230.55
2018/7/26,1228.35
2018/7/27,1219.15
2018/7/30,1222.05
2018/7/31,1219.2
2018/8/1,1222.75
2018/8/2,1217.6
2018/8/3,1207.7
2018/8/6,1212
2018/8/7,1215.4
2018/8/8,1212.35
2018/8/9,1215.5
2018/8/10,1211.65
2018/8/13,1204.4
2018/8/14,1195.3
2018/8/15,1186.7
2018/8/16,1179.65
2018/8/17,1176.7
2018/8/20,1188.75
2018/8/21,1194.1
2018/8/22,1196.85
2018/8/23,1187.3
2018/8/24,1189.95
2018/8/28,1212.75
2018/8/29,1204.3
2018/8/30,1202.35
2018/8/31,1206.85
